8|12
32|8
81|7
39|12
53|1
5|30
88|7
76|11
61|20
20|7
85|27
18|12
82|13
8|13
40|2
27|8
63|15
80|31
89|17
27|18
9|32
54|5
24|28
91|32
80|30
22|15
73|26
72|2
4|34
36|26
30|13
4|29
84|21
84|22
96|10
54|33
64|15
13|29
95|31
5|24
26|7
64|25
44|21
97|18
99|28
37|12
60|30
61|2
31|29
86|6
28|13
74|20
59|4
11|25
44|31
90|14
76|33
73|7
21|22
18|30
2|36
97|35
26|13
67|6
28|19
3|10
36|2
37|35
23|6
42|9
72|13
47|14
65|22
96|12
21|29
73|25
37|13
16|25
17|4
22|24
68|7
91|11
1|16
23|20
22|21
44|27
72|33
26|15
59|3
40|23
63|12
71|5
49|32
47|11
95|14
36|31
80|6
100|3
13|9
90|26
39|27
81|23
4|8
8|19
78|3
77|31
21|32
26|25
58|34
77|5
38|28
79|19
14|5
45|17
79|34
94|28
94|23
94|9
41|9
69|24
57|25
75|23
28|5
11|15
45|11
30|18
49|33
80|25
80|15
85|2
59|23
21|34
55|5
44|17
25|13
5|18
93|11
63|19
80|32
91|29
99|4
83|35
7|16
55|7
59|12
92|6
6|30
82|11
96|34
58|3
70|36
92|2
2|32
24|17
4|19
58|13
20|27
25|31
55|23
4|6
54|4
92|19
48|2
90|12
29|15
94|33
28|29
57|9
90|17
36|30
55|4
46|11
93|2
34|15
5|1
99|27
29|24
84|8
4|4
22|1
53|30
86|25
43|6
51|5
85|22
44|35
12|20
25|12
51|27
6|35
56|9
42|5
21|27
61|12
33|5
12|18
24|10
73|30
83|11
75|4
96|16
69|28
61|22
66|25
32|32
51|34
65|15
77|26
35|30
34|26
19|6
64|1
86|20
28|4
35|21
48|9
27|33
66|29
41|25
33|2
50|2
42|32
51|25
33|16
85|16
35|35
67|13
71|34
15|5
56|20
41|15
78|19
19|33
83|10
74|25
85|21
95|1
8|36
87|10
63|7
58|17
23|27
69|34
62|13
44|30
35|16
54|2
22|11
12|2
38|15
96|23
69|15
18|7
69|2
9|29
36|6
65|25
8|26
27|32
79|16
31|35
52|31
56|35
16|36
96|27
45|32
84|20
15|14
80|1
9|16
96|3
10|25
73|12
86|9
13|6
59|15
31|21
15|20
97|1
41|27
87|34
89|9
22|14
57|11
93|19
1|4
99|14
6|5
39|35
46|29
60|11
48|28
7|30
8|3
55|10
34|36
28|21
43|12
96|31
70|7
25|15
64|20
99|11
57|8
94|31
26|12
6|21
99|5
63|4
60|2
13|13
98|11
24|2
30|3
52|8
97|34
62|35
57|4
40|26
24|27
14|34
90|25
82|27
8|9
71|19
20|16
13|10
36|22
84|26
78|11
66|34
78|26
60|14
19|21
13|19
19|25
5|34
12|9
36|5
95|28
59|36
30|27
35|7
32|6
52|25
58|35
7|25
89|7
98|33
73|35
70|14
14|32
27|29
24|16
86|8
92|16
27|30
26|9
14|30
43|28
46|12
42|20
16|7
53|25
46|28
37|18
2|26
86|22
76|14
86|10
43|3
13|22
2|6
53|2
